NAMESPACE         NAME                                                           DATA   AGE
default           kube-root-ca.crt                                               1      33m
default           prometheus-grafana                                             1      29m
default           prometheus-grafana-config-dashboards                           1      29m
default           prometheus-kube-prometheus-alertmanager-overview               1      29m
default           prometheus-kube-prometheus-apiserver                           1      29m
default           prometheus-kube-prometheus-cluster-total                       1      29m
default           prometheus-kube-prometheus-controller-manager                  1      29m
default           prometheus-kube-prometheus-etcd                                1      29m
default           prometheus-kube-prometheus-grafana-datasource                  1      29m
default           prometheus-kube-prometheus-grafana-overview                    1      29m
default           prometheus-kube-prometheus-k8s-coredns                         1      29m
default           prometheus-kube-prometheus-k8s-resources-cluster               1      29m
default           prometheus-kube-prometheus-k8s-resources-multicluster          1      29m
default           prometheus-kube-prometheus-k8s-resources-namespace             1      29m
default           prometheus-kube-prometheus-k8s-resources-node                  1      29m
default           prometheus-kube-prometheus-k8s-resources-pod                   1      29m
default           prometheus-kube-prometheus-k8s-resources-workload              1      29m
default           prometheus-kube-prometheus-k8s-resources-workloads-namespace   1      29m
default           prometheus-kube-prometheus-kubelet                             1      29m
default           prometheus-kube-prometheus-namespace-by-pod                    1      29m
default           prometheus-kube-prometheus-namespace-by-workload               1      29m
default           prometheus-kube-prometheus-node-cluster-rsrc-use               1      29m
default           prometheus-kube-prometheus-node-rsrc-use                       1      29m
default           prometheus-kube-prometheus-nodes                               1      29m
default           prometheus-kube-prometheus-nodes-aix                           1      29m
default           prometheus-kube-prometheus-nodes-darwin                        1      29m
default           prometheus-kube-prometheus-persistentvolumesusage              1      29m
default           prometheus-kube-prometheus-pod-total                           1      29m
default           prometheus-kube-prometheus-prometheus                          1      29m
default           prometheus-kube-prometheus-proxy                               1      29m
default           prometheus-kube-prometheus-scheduler                           1      29m
default           prometheus-kube-prometheus-workload-total                      1      29m
default           prometheus-prometheus-kube-prometheus-prometheus-rulefiles-0   36     29m
kube-node-lease   kube-root-ca.crt                                               1      33m
kube-public       kube-root-ca.crt                                               1      33m
kube-system       chart-content-traefik                                          0      33m
kube-system       chart-content-traefik-crd                                      0      33m
kube-system       cluster-dns                                                    2      33m
kube-system       coredns                                                        2      33m
kube-system       extension-apiserver-authentication                             6      33m
kube-system       kube-apiserver-legacy-service-account-token-tracking           1      33m
kube-system       kube-root-ca.crt                                               1      33m
kube-system       local-path-config                                              4      33m
